;Ano;Poluicao_Anual_Total;Internaçőes por doenças do aparelho respiratório;Internaçőes por doenças do trato respiratório superior;Internaçőes por doenças respiratórias
0;2010;163.19;154;6;160
1;2011;139.91;146;8;154
2;2012;126.99;100;9;109
3;2013;122.87;127;9;136
4;2014;139.40;324;29;353
5;2015;138.23;125;8;133
6;2016;137.09;178;10;188
7;2017;131.66;230;8;238
8;2018;133.43;208;4;212
9;2019;142.69;239;4;243
10;2020;143.52;784;8;792
11;2021;155.13;432;6;438
12;2022;143.79;390;3;393
13;2023;133.52;460;10;470
14;2024;186.13;416;17;433
